# Sample bank statement data for testing the Personal Finance Dashboard
# This file contains 3 months of realistic transaction data to demonstrate all features

Date,Description,Amount
2024-07-01,"DIRECT DEPOSIT PAYROLL",3450.00
2024-07-01,"RENT PAYMENT - MAIN ST APT",-1350.00
2024-07-02,"WHOLE FOODS MARKET #10234",-89.45
2024-07-02,"SHELL GAS STATION #5678",-52.30
2024-07-03,"STARBUCKS #2847 DOWNTOWN",-6.75
2024-07-03,"NETFLIX MONTHLY SUBSCRIPTION",-15.99
2024-07-04,"FIREWORKS CELEBRATION DINNER",-78.50
2024-07-05,"TARGET STORE #1847 GROCERY",-134.67
2024-07-05,"UBER RIDE TO AIRPORT",-28.50
2024-07-06,"AMAZON.COM PRIME DELIVERY",-49.99
2024-07-07,"CHIPOTLE MEXICAN GRILL #891",-12.50
2024-07-08,"ELECTRIC COMPANY JULY BILL",-165.89
2024-07-08,"CVS PHARMACY PRESCRIPTION",-35.67
2024-07-09,"SPOTIFY PREMIUM FAMILY",-15.99
2024-07-10,"KROGER GROCERY WEEKLY SHOP",-156.78
2024-07-11,"MCDONALDS DRIVE THRU #8901",-9.47
2024-07-12,"INTERNET & CABLE BILL",-89.99
2024-07-12,"PIZZA HUT DELIVERY #5672",-32.89
2024-07-13,"LYFT RIDE DOWNTOWN",-18.75
2024-07-14,"PHONE BILL - VERIZON",-95.00
2024-07-15,"FREELANCE PROJECT PAYMENT",750.00
2024-07-15,"AMAZON PRIME MEMBERSHIP",-14.99
2024-07-16,"CHEVRON GAS STATION",-44.20
2024-07-16,"SUBWAY LUNCH #3421",-11.25
2024-07-17,"COSTCO WHOLESALE BULK SHOP",-267.45
2024-07-18,"HOME DEPOT GARDEN SUPPLIES",-87.63
2024-07-19,"DOCTOR OFFICE VISIT COPAY",-25.00
2024-07-20,"TRADER JOES ORGANIC FOODS",-67.89
2024-07-21,"AMC THEATERS MOVIE NIGHT",-45.50
2024-07-22,"APPLE ICLOUD 200GB STORAGE",-2.99
2024-07-23,"VENMO PAYMENT FROM FRIEND",75.00
2024-07-24,"BEST BUY ELECTRONICS #4721",-189.99
2024-07-25,"PANERA BREAD LUNCH MEETING",-18.76
2024-07-26,"WALMART SUPERCENTER WEEKLY",-98.34
2024-07-27,"WATER UTILITY BILL",-67.89
2024-07-28,"DENTAL CLEANING CHECKUP",-125.00
2024-07-29,"UBER EATS DINNER DELIVERY",-34.56
2024-07-30,"GYM MEMBERSHIP - FITNESS PLUS",-29.99
2024-07-31,"BANK SAVINGS INTEREST",3.45

2024-08-01,"DIRECT DEPOSIT PAYROLL",3450.00
2024-08-01,"RENT PAYMENT - MAIN ST APT",-1350.00
2024-08-02,"KROGER GROCERY STORE #234",-112.67
2024-08-02,"EXXON GAS STATION #9876",-48.75
2024-08-03,"COFFEE BEAN & TEA LEAF",-7.25
2024-08-03,"HULU + LIVE TV SUBSCRIPTION",-64.99
2024-08-04,"WEEKEND FARMERS MARKET",-45.80
2024-08-05,"TARGET BACK TO SCHOOL SHOP",-234.56
2024-08-05,"LYFT RIDE TO CONCERT",-32.50
2024-08-06,"AMAZON.COM OFFICE SUPPLIES",-76.43
2024-08-07,"TACO BELL LUNCH #4567",-8.95
2024-08-08,"NATURAL GAS BILL AUGUST",-89.34
2024-08-08,"WALGREENS PHARMACY #7890",-28.90
2024-08-09,"APPLE MUSIC FAMILY PLAN",-14.99
2024-08-10,"WHOLE FOODS WEEKLY SHOP",-187.65
2024-08-11,"BURGER KING DRIVE THRU",-12.47
2024-08-12,"INTERNET SPEED UPGRADE",-109.99
2024-08-12,"DOMINOS PIZZA DELIVERY",-28.76
2024-08-13,"UBER RIDE TO MEETING",-22.30
2024-08-14,"T-MOBILE PHONE BILL",-105.00
2024-08-15,"CONSULTING PROJECT DEPOSIT",1200.00
2024-08-15,"AMAZON FRESH GROCERIES",-67.89
2024-08-16,"BP GAS STATION FILLUP",-51.40
2024-08-16,"CHIPOTLE CATERING ORDER",-89.50
2024-08-17,"SAMS CLUB MEMBERSHIP SHOP",-189.78
2024-08-18,"LOWES HOME IMPROVEMENT",-156.90
2024-08-19,"URGENT CARE VISIT COPAY",-40.00
2024-08-20,"SPROUTS FARMERS MARKET",-78.45
2024-08-21,"REGAL CINEMAS IMAX MOVIE",-38.50
2024-08-22,"MICROSOFT 365 SUBSCRIPTION",-6.99
2024-08-23,"CASH APP PAYMENT RECEIVED",120.00
2024-08-24,"MICRO CENTER COMPUTER PARTS",-345.67
2024-08-25,"FIVE GUYS BURGERS & FRIES",-23.89
2024-08-26,"ALDI DISCOUNT GROCERIES",-56.78
2024-08-27,"TRASH & RECYCLING SERVICE",-34.50
2024-08-28,"ORTHODOX CLOTHING DONATION",25.00
2024-08-29,"GRUBHUB FOOD DELIVERY",-42.30
2024-08-30,"PLANET FITNESS ANNUAL FEE",-99.99
2024-08-31,"HIGH YIELD SAVINGS INTEREST",12.34

2024-09-01,"DIRECT DEPOSIT PAYROLL",3450.00
2024-09-01,"RENT PAYMENT - MAIN ST APT",-1350.00
2024-09-02,"PUBLIX GROCERY STORE #567",-134.89
2024-09-02,"MARATHON GAS STATION",-47.60
2024-09-03,"DUNKIN DONUTS MORNING COFFEE",-4.85
